id;genres;id_imdb;popularity;title;vote_average;vote_count;director
51;['adventure', 'fantasy', 'action'];9543;6,21699E+16;Prince of Persia: The Sands of Time;62;2317;mikenewell
52;['action', 'sciencefiction', 'adventure'];68726;5,65232E+16;Pacific Rim;67;4794;guillermodeltoro
53;['action', 'sciencefiction', 'adventure'];38356;2,85296E+16;Transformers: Dark of the Moon;61;3299;michaelbay
54;['adventure', 'action'];217;75674458;Indiana Jones and the Kingdom of the Crystal Skull;57;2495;stevenspielberg
55;['adventure', 'animation', 'family'];105864;51692953;The Good Dinosaur;66;1736;petersohn
56;['animation', 'adventure', 'comedy'];62177;125114374;Brave;67;4641;brendachapman
57;['action', 'adventure', 'sciencefiction'];188927;65352913;Star Trek Beyond;66;2568;justinlin
58;['animation', 'family'];10681;66390712;WALLÂ·E;78;6296;andrewstanton
59;['action', 'comedy', 'crime'];5174;2257178;Rush Hour 3;61;783;brettratner
60;['action', 'adventure', 'sciencefiction'];14161;45274225;2012;56;4903;rolandemmerich
61;['animation', 'drama'];17979;39744242;A Christmas Carol;66;1095;robertzemeckis
62;['sciencefiction', 'fantasy', 'action'];76757;8,53691E+15;Jupiter Ascending;52;2768;lillywachowski
63;['action', 'adventure'];258489;42741719;The Legend of Tarzan;55;2430;davidyates
64;['adventure', 'family', 'fantasy'];411;67391328;The Chronicles of Narnia: The Lion, the Witch and the Wardrobe;67;2629;andrewadamson
65;['sciencefiction'];246655;139272042;X-Men: Apocalypse;64;4721;bryansinger
66;['drama', 'action', 'crime'];155;187322927;The Dark Knight;82;12002;christophernolan
67;['animation', 'comedy', 'family'];14160;92201962;Up;77;6870;petedocter
68;['animation', 'family', 'adventure'];15512;3,61676E+16;Monsters vs Aliens;60;1423;conradvernon
69;['action', 'sciencefiction', 'adventure'];1726;120725053;Iron Man;74;8776;jonfavreau
70;['adventure', 'drama', 'family'];44826;32319043;Hugo;70;2141;martinscorsese
71;['action', 'adventure', 'comedy'];8487;4,07489E+16;Wild Wild West;51;1020;barrysonnenfeld
72;['adventure', 'action', 'fantasy'];1735;60034162;The Mummy: Tomb of the Dragon Emperor;52;1387;robcohen
73;['action', 'adventure', 'crime'];297761;9,02379E+15;Suicide Squad;59;7458;davidayer
74;['fantasy', 'comedy', 'family'];2698;27082182;Evan Almighty;53;1151;tomshadyac
75;['action', 'sciencefiction'];137113;79456485;Edge of Tomorrow;76;4858;dougliman
76;['adventure', 'action'];9804;4,46403E+16;Waterworld;59;992;kevinreynolds
77;['adventure', 'action', 'thriller'];14869;32852443;G.I. Joe: The Rise of Cobra;56;1962;stephensommers
78;['drama', 'comedy', 'animation'];150540;1,28656E+16;Inside Out;80;6560;petedocter
79;['family', 'adventure', 'drama'];278927;9,41993E+15;The Jungle Book;67;2892;jonfavreau
80;['adventure', 'action', 'sciencefiction'];10138;7,73002E+15;Iron Man 2;66;6849;jonfavreau
81;['adventure', 'fantasy', 'drama'];58595;77178973;Snow White and the Huntsman;58;3118;rupertsanders
82;['fantasy', 'adventure', 'action'];102651;1,10621E+16;Maleficent;70;4496;robertstromberg
83;['sciencefiction', 'action', 'drama'];119450;2,43792E+16;Dawn of the Planet of the Apes;73;4410;mattreeves
84;['action', 'adventure', 'sciencefiction'];79698;2418535;The Lovers;48;34;rolandjoffÃ©
85;['drama', 'action', 'adventure'];64686;41796339;47 Ronin;59;1326;carlrinsch
86;['action', 'adventure', 'sciencefiction'];100402;7,22253E+15;Captain America: The Winter Soldier;76;5764;anthonyrusso
87;['comedy', 'adventure', 'fantasy'];10192;4,40412E+16;Shrek Forever After;60;1959;mikemitchell
88;['adventure', 'family', 'mystery'];158852;130311355;Tomorrowland;62;2846;bradbird
89;['adventure', 'family', 'animation'];177572;20373459;Big Hero 6;78;6135;chriswilliams
90;['family', 'animation', 'comedy'];82690;62341073;Wreck-It Ralph;71;4570;richmoore
91;['adventure', 'animation', 'family'];5255;47323228;The Polar Express;64;1474;robertzemeckis
92;['action', 'adventure', 'sciencefiction'];47933;48775723;Independence Day: Resurgence;49;2491;rolandemmerich
93;['fantasy', 'adventure', 'animation'];10191;67263269;How to Train Your Dragon;75;4227;chrissanders
94;['action', 'thriller', 'sciencefiction'];296;69405188;Terminator 3: Rise of the Machines;59;2143;jonathanmostow
95;['action', 'sciencefiction', 'adventure'];118340;4,81099E+16;Guardians of the Galaxy;79;9742;jamesgunn
96;['adventure', 'drama', 'sciencefiction'];157336;724247784;Interstellar;81;10867;christophernolan
97;['action', 'thriller', 'sciencefiction'];27205;16758371;Inception;81;13752;christophernolan
98;['action', 'adventure', 'drama'];315011;9,477E+15;Shin Godzilla;65;143;hideakianno
99;['adventure', 'fantasy', 'action'];49051;108849621;The Hobbit: An Unexpected Journey;70;8297;peterjackson
100;['action', 'crime', 'thriller'];9799;6909942;The Fast and the Furious;66;3428;robcohen
101;['fantasy', 'drama', 'thriller'];4922;6,02693E+16;The Curious Case of Benjamin Button;73;3292;davidfincher
102;['action', 'sciencefiction', 'adventure'];49538;3195174;X-Men: First Class;71;5181;matthewvaughn
103;['action', 'adventure', 'sciencefiction'];131634;1,27284E+16;The Hunger Games: Mockingjay - Part 2;66;3984;francislawrence
104;['fantasy', 'adventure', 'action'];27022;35580815;The Sorcerer's Apprentice;58;1470;jonturteltaub
105;['adventure', 'action', 'drama'];503;21133748;Poseidon;55;583;wolfgangpetersen
106;['fantasy'];241259;5,62689E+16;Alice Through the Looking Glass;65;1725;jamesbobin
107;['fantasy', 'adventure', 'animation'];810;42986467;Shrek the Third;60;2278;chrismiller
108;['action', 'adventure', 'fantasy'];68735;63148529;Warcraft;63;2268;duncanjones
109;['sciencefiction', 'action', 'thriller'];87101;2,02043E+16;Terminator Genisys;58;3631;alantaylor
110;['adventure', 'family', 'fantasy'];10140;4,9662E+16;The Chronicles of Narnia: The Voyage of the Dawn Treader;62;1514;michaelapted
111;['history', 'romance', 'war'];676;3420669;Pearl Harbor;66;1791;michaelbay
112;['adventure', 'sciencefiction', 'action'];1858;25468493;Transformers;66;4040;michaelbay
113;['war', 'history', 'action'];1966;3,90192E+16;Alexander;56;927;oliverstone
114;['adventure', 'fantasy', 'family'];675;7,81444E+15;Harry Potter and the Order of the Phoenix;74;5494;davidyates
115;['adventure', 'fantasy', 'family'];674;101250416;Harry Potter and the Goblet of Fire;75;5608;mikenewell
116;['fantasy', 'action'];8960;5,67584E+16;Hancock;62;2961;peterberg
117;['drama', 'horror', 'action'];6479;70867401;I Am Legend;69;4853;francislawrence
118;['adventure', 'comedy', 'family'];118;5,39056E+16;Charlie and the Chocolate Factory;67;3624;timburton
119;['animation', 'comedy', 'family'];2062;65677399;Ratatouille;75;4369;janpinkava
120;['action', 'crime', 'drama'];272;115040024;Batman Begins;75;7359;christophernolan
121;['family', 'animation'];10527;44141021;Madagascar: Escape 2 Africa;62;1810;ericdarnell
122;['adventure', 'fantasy', 'action'];18360;81781591;Night at the Museum: Battle of the Smithsonian;59;1971;shawnlevy
123;['adventure', 'action', 'thriller'];2080;5,95433E+15;X-Men Origins: Wolverine;62;4021;gavinhood
124;['adventure', 'action', 'thriller'];605;73313918;The Matrix Revolutions;64;3096;lillywachowski
125;['animation', 'adventure', 'family'];109445;1,65125E+16;Frozen;73;5295;chrisbuck
126;['adventure', 'action', 'thriller'];604;7078591;The Matrix Reloaded;67;3443;lillywachowski
127;['action', 'adventure', 'fantasy'];76338;99499595;Thor: The Dark World;68;4755;alantaylor
128;['action', 'adventure', 'sciencefiction'];76341;4,34279E+16;Mad Max: Fury Road;72;9427;georgemiller
129;['thriller', 'mystery'];13448;67447636;Angels & Demons;65;2129;ronhoward
130;['adventure', 'fantasy', 'action'];10195;86493424;Thor;66;6525;kennethbranagh
131;['animation', 'family', 'adventure'];13053;4,18459E+16;Bolt;63;1750;chriswilliams
132;['fantasy', 'action', 'adventure'];19585;2,67104E+16;G-Force;51;510;hoytyeatman
133;['adventure'];57165;4,49276E+16;Wrath of the Titans;55;1431;jonathanliebesman
134;['comedy', 'fantasy'];62213;50306728;Dark Shadows;57;2320;timburton
135;['action', 'adventure', 'thriller'];177677;1,14522E+16;Mission: Impossible - Rogue Nation;71;3224;christophermcquarrie
136;['drama', 'horror', 'thriller'];7978;21214571;The Wolfman;55;549;joejohnston
137;['family', 'animation', 'adventure'];5559;29332905;Bee Movie;57;1171;stevehickner
138;['animation', 'family'];49444;51247321;Kung Fu Panda 2;67;1880;jenniferyuhnelson
139;['action', 'adventure', 'family'];10196;3,37693E+16;The Last Airbender;47;1151;m.nightshyamalan
140;['adventure', 'action', 'thriller'];956;63079003;Mission: Impossible III;65;2028;j.j.abrams
141;['action', 'drama', 'thriller'];117251;39004588;White House Down;64;1891;rolandemmerich
142;['adventure', 'animation', 'family'];50321;1,23626E+16;Mars Needs Moms;55;199;simonwells
143;['adventure', 'animation', 'comedy'];11619;22550135;Flushed Away;60;874;davidbowers
144;['adventure', 'family', 'fantasy'];266647;4803528;Pan;59;954;joewright
145;['animation', 'adventure', 'family'];82703;3873494;Mr. Peabody & Sherman;67;843;robminkoff
146;['adventure', 'drama', 'war'];652;66803149;Troy;69;2759;wolfgangpetersen
147;['animation', 'family'];80321;4,49892E+16;Madagascar 3: Europe's Most Wanted;64;1808;conradvernon
148;['adventure', 'action', 'thriller'];36669;5,41594E+16;Die Another Day;58;1092;leetamahori
149;['action', 'fantasy', 'comedy'];43074;6621806;Ghostbusters;53;2142;paulfeig
150;['action', 'thriller', 'sciencefiction'];95;58485967;Armageddon;64;2482;michaelbay
151;['action', 'adventure', 'comedy'];608;91332849;Men in Black II;60;3114;barrysonnenfeld
152;['adventure', 'action', 'animation'];2310;3,56017E+16;Beowulf;55;841;robertzemeckis
153;['action', 'adventure', 'animation'];140300;56747978;Kung Fu Panda 3;67;1603;jenniferyuhnelson
154;['action', 'thriller', 'adventure'];56292;7,77748E+15;Mission: Impossible - Ghost Protocol;68;3972;bradbird
155;['fantasy', 'animation', 'family'];81188;61788035;Rise of the Guardians;71;1922;peterramsey
156;['comedy'];7552;2,51592E+16;Fun with Dick and Jane;59;627;deanparisot
157;['drama', 'action', 'war'];616;52341226;The Last Samurai;73;1895;edwardzwick
158;['adventure', 'drama', 'action'];147441;101599427;Exodus: Gods and Kings;56;1921;ridleyscott
159;['sciencefiction', 'action', 'adventure'];13475;7,36168E+15;Star Trek;74;4518;j.j.abrams
160;['fantasy', 'action'];557;82502566;Spider-Man;68;5265;samraimi
161;['fantasy', 'action', 'adventure'];82702;10021391;How to Train Your Dragon 2;76;3106;deandeblois
162;['fantasy'];205584;56257249;Gods of Egypt;53;1277;alexproyas
163;['action'];10048;1788953;Stealth;49;331;robcohen
164;['action', 'mystery', 'sciencefiction'];13183;64798873;Watchmen;70;2811;zacksnyder
165;['action', 'adventure', 'comedy'];944;24855701;Lethal Weapon 4;63;767;richarddonner
166;['drama', 'action', 'sciencefiction'];1927;34981698;Hulk;53;1533;anglee
167;['adventure', 'action', 'sciencefiction'];72559;59325589;G.I. Joe: Retaliation;54;3025;jonm.chu
168;['action', 'adventure', 'comedy'];7364;2,16056E+16;Sahara;57;434;breckeisner
169;['adventure', 'action', 'animation'];2114;2,60749E+16;Final Fantasy: The Spirits Within;59;433;hironobusakaguchi
170;['action', 'adventure', 'sciencefiction'];1771;7,45062E+15;Captain America: The First Avenger;66;7047;joejohnston
171;['adventure', 'action', 'thriller'];36643;39604363;The World Is Not Enough;60;862;michaelapted
172;['adventure'];8619;36973031;Master and Commander: The Far Side of the World;69;790;peterweir
173;['adventure', 'fantasy', 'drama'];50620;99687084;The Twilight Saga: Breaking Dawn - Part 2;61;2553;billcondon
174;['animation', 'comedy', 'family'];65759;177735;Happy Feet Two;58;373;georgemiller
175;['sciencefiction', 'action', 'adventure'];1724;62898336;The Incredible Hulk;61;3021;louisleterrier
176;['adventure', 'family', 'fantasy'];267935;4419092;The BFG;60;1000;stevenspielberg
177;['western', 'drama', 'adventure'];281957;100635882;The Revenant;73;6396;alejandrogonzÃ¡leziÃ±Ã¡rritu
178;['animation', 'family'];77950;44765377;Turbo;61;1074;davidsoren
179;['animation', 'comedy', 'family'];44896;2,99135E+16;Rango;66;2051;goreverbinski
180;['family', 'animation', 'adventure'];270946;84366984;Penguins of Madagascar;65;1346;ericdarnell
181;['action', 'drama', 'mystery'];2503;45381501;The Bourne Ultimatum;73;2888;paulgreengrass
182;['adventure', 'animation', 'family'];9502;8,46896E+15;Kung Fu Panda;69;3145;markosborne
183;['sciencefiction', 'action', 'adventure'];102899;1,20094E+16;Ant-Man;70;5880;peytonreed
184;['adventure', 'action', 'sciencefiction'];101299;76310119;The Hunger Games: Catching Fire;74;6495;francislawrence
185;['fantasy', 'comedy', 'animation'];228161;63473086;Home;68;1519;timjohnson
186;['adventure', 'thriller', 'sciencefiction'];74;48572726;War of the Worlds;62;2322;stevenspielberg
187;['adventure', 'action', 'comedy'];8961;38068736;Bad Boys II;63;1564;michaelbay
188;['action', 'adventure', 'animation'];417859;20678787;Puss in Boots;64;451;chrismiller
189;['action', 'mystery', 'thriller'];27576;48829437;Salt;62;2093;phillipnoyce
190;['drama', 'adventure'];86834;46115758;Noah;56;2350;darrenaronofsky
191;['adventure', 'animation', 'mystery'];17578;89938296;The Adventures of Tintin;67;2061;stevenspielberg
192;['adventure', 'fantasy', 'family'];673;79679601;Harry Potter and the Prisoner of Azkaban;77;5877;alfonsocuarÃ³n
193;['drama'];6972;2,8841E+16;Australia;63;694;bazluhrmann
194;['sciencefiction', 'action', 'adventure'];82700;42840582;After Earth;50;2532;m.nightshyamalan
195;['animation', 'family'];10567;26548594;Dinosaur;62;542;ralphzondag
196;['adventure', 'comedy', 'fantasy'];181533;115597753;Night at the Museum: Secret of the Tomb;61;1851;shawnlevy
197;['animation', 'action', 'comedy'];38055;68757242;Megamind;67;1918;tommcgrath
198;['adventure', 'fantasy', 'family'];671;109984351;Harry Potter and the Philosopher's Stone;75;7006;chriscolumbus
199;['fantasy', 'action', 'comedy'];49524;39448066;R.I.P.D.;54;1260;robertschwentke
200;['adventure', 'fantasy', 'action'];22;271972889;Pirates of the Caribbean: The Curse of the Black Pearl;75;6985;goreverbinski
201;['sciencefiction', 'adventure', 'thriller'];131631;206227151;The Hunger Games: Mockingjay - Part 1;66;5584;francislawrence
202;['thriller', 'mystery'];591;4,53132E+16;The Da Vinci Code;65;2704;ronhoward
203;['animation', 'adventure', 'comedy'];172385;4,24002E+16;Rio 2;63;978;carlossaldanha
204;['adventure', 'action', 'sciencefiction'];36658;2871739;X2;68;3506;bryansinger
205;['action', 'thriller', 'crime'];51497;7,25572E+15;Fast Five;71;2438;justinlin
206;['adventure', 'action', 'crime'];58574;8,14996E+15;Sherlock Holmes: A Game of Shadows;70;3886;guyritchie
207;['adventure', 'fantasy', 'action'];18823;47686442;Clash of the Titans;56;2233;louisleterrier
208;['action', 'adventure', 'sciencefiction'];861;4,31297E+16;Total Recall;71;1710;paulverhoeven
209;['adventure', 'fantasy', 'action'];1911;27220157;The 13th Warrior;64;510;johnmctiernan
210;['action', 'thriller'];49040;9033681;The Bourne Legacy;60;2651;tonygilroy
211;['action', 'crime', 'fantasy'];415;50073575;Batman & Robin;42;1418;joelschumacher
212;['family', 'comedy', 'fantasy'];8871;45419668;How the Grinch Stole Christmas;62;1386;ronhoward
213;['action', 'adventure', 'sciencefiction'];435;41380094;The Day After Tomorrow;62;2392;rolandemmerich
214;['adventure', 'action', 'thriller'];955;54931334;Mission: Impossible II;59;1928;johnwoo
215;['drama'];2133;25752118;The Perfect Storm;62;597;wolfgangpetersen
216;['adventure', 'fantasy', 'action'];1979;6,08107E+16;Fantastic 4: Rise of the Silver Surfer;54;2589;timstory
217;['adventure', 'drama', 'action'];87827;51328145;Life of Pi;72;5797;anglee
218;['thriller', 'action', 'fantasy'];1250;4,68347E+16;Ghost Rider;52;1712;markstevenjohnson
219;['action', 'thriller'];324668;62641286;Jason Bourne;59;2341;paulgreengrass
220;['action', 'adventure', 'comedy'];9471;33616115;Charlie's Angels: Full Throttle;52;914;mcg
221;['sciencefiction', 'adventure', 'mystery'];70981;68889395;Prometheus;63;5080;ridleyscott
222;['family', 'adventure', 'animation'];10996;2,79903E+16;Stuart Little 2;54;613;robminkoff
223;['sciencefiction', 'action', 'drama'];68724;6,73377E+15;Elysium;64;3439;neillblomkamp
224;['action', 'sciencefiction'];2789;2,78354E+16;The Chronicles of Riddick;63;1570;davidtwohy
225;['action', 'sciencefiction'];97020;66757869;RoboCop;57;2342;josÃ©padilha
226;['action', 'family', 'sciencefiction'];7459;1,70607E+16;Speed Racer;57;354;lillywachowski
227;['comedy', 'drama', 'romance'];42888;11137655;How Do You Know;49;223;jamesl.brooks
228;['action', 'comedy'];37834;44906918;Knight and Day;59;1547;jamesmangold
229;['action', 'sciencefiction', 'adventure'];75612;67698004;Oblivion;64;4800;josephkosinski
230;['sciencefiction', 'adventure', 'action'];1895;44108427;Star Wars: Episode III - Revenge of the Sith;71;4116;georgelucas
231;['adventure', 'action', 'sciencefiction'];1894;43987061;Star Wars: Episode II - Attack of the Clones;64;3992;georgelucas
232;['animation', 'comedy', 'family'];585;106815545;Monsters, Inc.;75;5996;petedocter
233;['action', 'sciencefiction', 'adventure'];76170;1,59534E+16;The Wolverine;63;4053;jamesmangold
234;['adventure', 'action', 'sciencefiction'];1893;54035265;Star Wars: Episode I - The Phantom Menace;63;4432;georgelucas
235;['adventure', 'animation', 'comedy'];49519;6,41833E+15;The Croods;68;2399;chrissanders
236;['fantasy', 'adventure', 'comedy'];2395;2,03444E+16;Asterix at the Olympic Games;50;471;thomaslangmann
237;['drama', 'action', 'history'];12100;18714197;Windtalkers;58;341;johnwoo
238;['action', 'adventure', 'drama'];290595;6,0468E+16;The Huntsman: Winter's War;60;1523;cedricnicolas-troyan
239;['sciencefiction', 'action', 'adventure'];98566;143350376;Teenage Mutant Ninja Turtles;58;2636;jonathanliebesman
240;['sciencefiction', 'thriller', 'drama'];49047;110153618;Gravity;73;5751;alfonsocuarÃ³n
241;['action', 'adventure', 'thriller'];9619;1690444;Dante's Peak;57;428;rogerdonaldson
242;['fantasy', 'action', 'adventure'];308531;39873791;Teenage Mutant Ninja Turtles: Out of the Shadows;58;963;davegreen
243;['action', 'adventure', 'sciencefiction'];166424;38126095;Fantastic Four;44;2278;joshtrank
244;['action', 'adventure', 'comedy'];1593;48780039;Night at the Museum;63;2862;shawnlevy
245;['action', 'drama', 'thriller'];254128;100412364;San Andreas;60;2968;bradpeyton
246;['adventure', 'action', 'thriller'];714;42887121;Tomorrow Never Dies;60;925;rogerspottiswoode
247;['drama', 'history', 'war'];2024;23657284;The Patriot;68;1099;rolandemmerich
248;['thriller', 'crime'];163;76840712;Ocean's Twelve;64;2124;stevensoderbergh
249;['action', 'comedy', 'drama'];787;44635452;Mr. & Mrs. Smith;65;2965;dougliman
250;['adventure', 'sciencefiction', 'thriller'];262500;1,03718E+16;Insurgent;62;3829;robertschwentke
251;['drama'];2567;45616098;The Aviator;70;1489;martinscorsese
252;['comedy'];38745;22845143;Gulliver's Travels;49;621;robletterman
253;['action', 'crime', 'comedy'];40805;3,17036E+16;The Green Hornet;55;1251;michelgondry
254;['action', 'war'];53182;7,15106E+15;300: Rise of an Empire;61;2397;noammurro
255;['animation', 'family', 'adventure'];41513;3665422;The Smurfs;55;1179;rajagosnell
256;['animation', 'family'];13700;19625972;Home on the Range;57;389;willfinn
257;['adventure', 'sciencefiction'];262504;86105615;Allegiant;59;1998;robertschwentke
258;['action', 'sciencefiction', 'drama'];39254;3,7195E+16;Real Steel;66;2692;shawnlevy
259;['fantasy', 'family', 'comedy'];77931;3,24736E+16;The Smurfs 2;55;695;rajagosnell
260;['action', 'adventure', 'thriller'];1639;23336875;Speed 2: Cruise Control;41;434;jandebont
261;['sciencefiction', 'action', 'adventure'];80274;4594834;Ender's Game;66;2303;gavinhood
262;['action', 'thriller'];1571;4,89334E+16;Live Free or Die Hard;64;2089;lenwiseman
263;['adventure', 'fantasy', 'action'];120;138049577;The Lord of the Rings: The Fellowship of the Ring;80;8705;peterjackson
264;['action', 'adventure', 'comedy'];10204;2,26438E+16;Around the World in 80 Days;57;672;frankcoraci
265;['drama'];8489;18866672;Ali;67;447;michaelmann
266;['comedy', 'fantasy', 'family'];10588;1,82511E+16;The Cat in the Hat;49;366;bowelch
267;['action', 'sciencefiction'];2048;95914473;I, Robot;67;3793;alexproyas
268;['drama', 'action', 'adventure'];1495;44490453;Kingdom of Heaven;66;1157;ridleyscott
269;['animation', 'fantasy', 'family'];10137;3,04753E+16;Stuart Little;58;959;robminkoff
270;['romance', 'family', 'animation'];10198;62479574;The Princess and the Frog;67;1247;ronclements
271;['drama', 'adventure', 'sciencefiction'];286217;16793287;The Martian;76;7268;ridleyscott
272;['action', 'thriller', 'sciencefiction'];1635;3768056;The Island;65;1770;michaelbay
273;['comedy', 'romance'];24113;1004579;Town & Country;37;16;peterchelsom
274;['action', 'crime', 'thriller'];9679;52995628;Gone in Sixty Seconds;61;1485;dominicsena
275;['action', 'drama', 'adventure'];98;95301296;Gladiator;79;5439;ridleyscott
276;['action', 'thriller', 'sciencefiction'];180;65948959;Minority Report;71;2608;stevenspielberg
277;['adventure', 'fantasy', 'family'];672;132397737;Harry Potter and the Chamber of Secrets;74;5815;chriscolumbus
278;['adventure', 'action', 'thriller'];36557;88935165;Casino Royale;73;3855;martincampbell
279;['thriller', 'sciencefiction', 'action'];869;51188633;Planet of the Apes;56;1243;timburton
280;['action', 'thriller', 'sciencefiction'];280;10174155;Terminator 2: Judgment Day;77;4185;jamescameron
281;['history', 'crime', 'drama'];11322;33691694;Public Enemies;65;1344;michaelmann
282;['drama', 'crime'];4982;42361215;American Gangster;74;1502;ridleyscott
283;['action', 'thriller'];36955;38729418;True Lies;68;1116;jamescameron
284;['thriller', 'drama', 'crime'];18487;40597856;The Taking of Pelham 1 2 3;62;954;tonyscott
285;['comedy', 'romance'];39451;32389353;Little Fockers;54;1060;paulweitz
286;['action', 'comedy', 'crime'];27581;24399642;The Other Guys;61;1383;adammckay
287;['action', 'drama', 'mystery'];9268;24507987;Eraser;56;543;chuckrussell
288;['drama', 'western'];68718;82121691;Django Unchained;78;10099;quentintarantino
289;['drama', 'animation', 'family'];10545;4,67279E+16;The Hunchback of Notre Dame;68;1129;garytrousdale
290;['adventure', 'animation', 'comedy'];11688;51113717;The Emperor's New Groove;72;1490;markdindal
291;['action', 'adventure', 'thriller'];76163;5,37329E+15;The Expendables 2;61;2896;simonwest
292;['adventure', 'action', 'thriller'];2059;5,88493E+16;National Treasure;64;1926;jonturteltaub
293;['fantasy', 'action', 'adventure'];2486;30863434;Eragon;49;967;stefenfangmeier
294;['family', 'fantasy'];16523;3,15862E+16;Where the Wild Things Are;64;572;spikejonze
295;['animation', 'adventure', 'family'];116711;36711378;Epic;64;1121;chriswedge
296;['action', 'thriller', 'romance'];37710;41426678;The Tourist;60;1699;florianhenckelvondonnersmarck
